Country,srcYear,srcCalendarDay,ASI Monuments,Number of Tourists,YearCode,Year,DayCode,CalendarDay
India,2019,09-Sep-2019,Red Fort,0,2019,"Financial Year (Apr - Mar), 2019",20190909,2019-09-09
India,2019,09-Sep-2019,Taj Mahal,17046,2019,"Financial Year (Apr - Mar), 2019",20190909,2019-09-09
India,2019,09-Sep-2019,Agra Fort,6236,2019,"Financial Year (Apr - Mar), 2019",20190909,2019-09-09
India,2019,10-Sep-2019,Qutub Minar,8318,2019,"Financial Year (Apr - Mar), 2019",20190910,2019-09-10
India,2019,10-Sep-2019,Red Fort,9437,2019,"Financial Year (Apr - Mar), 2019",20190910,2019-09-10
India,2019,10-Sep-2019,Taj Mahal,14591,2019,"Financial Year (Apr - Mar), 2019",20190910,2019-09-10
India,2019,10-Sep-2019,Agra Fort,5476,2019,"Financial Year (Apr - Mar), 2019",20190910,2019-09-10
India,2019,11-Sep-2019,Agra Fort,4544,2019,"Financial Year (Apr - Mar), 2019",20190911,2019-09-11
India,2019,11-Sep-2019,Red Fort,7069,2019,"Financial Year (Apr - Mar), 2019",20190911,2019-09-11
India,2019,11-Sep-2019,Taj Mahal,13845,2019,"Financial Year (Apr - Mar), 2019",20190911,2019-09-11
India,2019,11-Sep-2019,Qutub Minar,6348,2019,"Financial Year (Apr - Mar), 2019",20190911,2019-09-11
India,2019,12-Sep-2019,Red Fort,6787,2019,"Financial Year (Apr - Mar), 2019",20190912,2019-09-12
India,2019,12-Sep-2019,Taj Mahal,16931,2019,"Financial Year (Apr - Mar), 2019",20190912,2019-09-12
India,2019,12-Sep-2019,Qutub Minar,6031,2019,"Financial Year (Apr - Mar), 2019",20190912,2019-09-12
India,2019,12-Sep-2019,Agra Fort,4670,2019,"Financial Year (Apr - Mar), 2019",20190912,2019-09-12
India,2019,13-Sep-2019,Agra Fort,3835,2019,"Financial Year (Apr - Mar), 2019",20190913,2019-09-13
India,2019,13-Sep-2019,Red Fort,8578,2019,"Financial Year (Apr - Mar), 2019",20190913,2019-09-13
India,2019,13-Sep-2019,Qutub Minar,7648,2019,"Financial Year (Apr - Mar), 2019",20190913,2019-09-13
India,2019,13-Sep-2019,Taj Mahal,0,2019,"Financial Year (Apr - Mar), 2019",20190913,2019-09-13
